time, mean, SD
341, -214.841, 682.731
342, 16.2045, 509.99
343, -56.8409, 734.866
344, 20.3864, 944.425
345, 55, 698.784
346, -43.0455, 819.541
347, -60.5682, 850.508
348, 119.114, 575.426
349, -29.5227, 763.381
350, -63.9333, 640.497
351, 75.6364, 473.753
352, -148.568, 596.657
353, 159.932, 685.47
354, -32.5, 581.722
355, -74.5455, 677.816
356, 203.523, 477.083
357, -15.4773, 593.918
358, -267.591, 792.441
359, 370.523, 677.632
360, -287.156, 753.003
361, -7.65909, 681.031
362, 66.3409, 555.551
363, 39.9091, 551.794
364, -62.0227, 546.011
365, 30.4773, 539.449
366, 89.4091, 658.937
367, -68.7955, 353.57
368, 31.3636, 431.581
369, 98.5227, 484.766
370, -86.9333, 441.034
371, -78.8409, 376.552
372, 58.0227, 412.883
373, 20.1136, 420.744
374, -74.7727, 526.741
375, 23.5227, 349.116
376, 58.6591, 379.205
377, -71.25, 437.349
378, 19.3864, 441.522
379, -39.0455, 213.399
380, 35.1111, 407.736
381, -63.0455, 346.756
382, 98.2273, 290.962
383, -94.25, 307.875
384, 116.114, 383.131
385, -111.636, 342.174
386, -7.68182, 514.501
387, 100.932, 362.2
388, 9.29545, 305.785
389, -46.1818, 363.25
390, -31.0889, 351.106
391, -28.8636, 363.569
392, 97.25, 446.479
393, -5.77273, 368.672
394, -91.25, 415.671
395, 19.1364, 344.293
396, 79.6818, 345.966
397, -76.6364, 315.177
398, 21.0682, 376.929
399, 67.2273, 193.628
400, -70.4, 265.452
401, 38, 299.234
402, -61.8182, 307.906
403, 50.5682, 288.155
404, 9.09091, 284.7
405, -11.9318, 190.079
406, 12, 178.388
407, -31.5682, 172.365
408, -12.7045, 201.997
409, 65.0909, 247.112
410, -58.9333, 360.144
411, 40.1818, 313.565
412, 9.38636, 266.528
413, -25.6364, 158.247
414, 32.3409, 209.419
415, -40.6364, 210.261
416, -78.2273, 287.549
417, 96.5909, 219.064
418, 10.6364, 213.071
419, 3.34091, 211.839
420, 34.6222, 205.244
421, -75.6818, 156.634
422, 9.68182, 195.072
423, -5.11364, 144.711
424, -5.18182, 122.511
425, 29.3182, 282.666
426, -50.2727, 204.252
427, 54.0909, 227.388
428, -37.3864, 155.072
429, 14.0909, 168.312
430, -6.68889, 108.533
431, -9.18182, 164.185
432, -2.95455, 198.628
433, 51.5, 149.794
434, 7.88636, 142.223
435, -80.9318, 150.548
436, 62.9091, 198.914
437, -31.4318, 136.14
438, -0.25, 195.57
439, 21.7045, 111.712
440, -4.53333, 161.892
441, 75.9773, 138.369
442, -114.977, 143.004
443, 53.8409, 135.421
444, -6.18182, 131.105
445, 0.590909, 113.417
446, -22.9545, 101.968
447, -24.9545, 98.9463
448, 29.2955, 171.723
449, -2.29545, 107.806
450, 11.0889, 114.391
451, -3.90909, 117.493
452, -11.9318, 97.2128
453, -11.5227, 147.135
454, 15.8182, 128.589
455, -4.84091, 123.004
456, 6.86364, 113.172
457, 29.0682, 76.9638
458, -26.4773, 96.3138
459, 13.3864, 79.4896
460, 7.55556, 98.9821
461, -60.5455, 128.256
462, 79.8864, 103.013
463, -37.5909, 83.3981
464, -29.9091, 67.3049
465, 5.93182, 118.238
466, 19.5909, 97.1726
467, 12.8864, 65.1782
468, 14.7727, 60.0726
469, -5.11364, 69.2896
470, -22.5111, 63.9815
471, 2.56818, 68.7183
472, 27.0227, 101.668
473, -36.0682, 97.0687
474, 10.6136, 94.1433
475, -7.52273, 63.8185
476, 8.47727, 74.3773
477, 5.06818, 82.9294
478, 16.8182, 87.8007
479, -17.2045, 71.7539
480, -18.8889, 51.9484
481, 21.7273, 76.1023
482, 15.2955, 60.0267
483, -0.5, 63.2899
484, -12.8182, 42.4217
485, -2.38636, 59.4709
486, -16.7273, 105.604
487, 17.0682, 31.8044
488, 3.61364, 92.3054
489, -38.3636, 105.495
490, -48.9333, 402.272
491, -793.886, 6318.25
492, 2900.5, 9023.46
493, -2378.89, 5556.91
494, -936.977, 3062.34
495, 1840.61, 1807.85
496, -433.773, 1343.42
497, -150.295, 879.84
498, 497.136, 577.536
499, -721.136, 667.529
500, 222, 662.773
501, 482.841, 3392.74
502, -347.977, 2606.7
503, -513.136, 1386.36
504, 245.091, 1089.58
505, 60.7727, 2041.92
506, 100.614, 1549.36
507, 265.955, 860.443
508, -481.773, 690.911
509, 269.273, 891.491
510, -32.3333, 606.816
511, -50.6818, 633.954
512, 16.0227, 1529.53
513, -106.25, 1494.73
514, 120.614, 1019.04
515, -173.227, 657.942
516, 223.568, 779.416
517, 122.636, 409.728
518, -254.455, 656.926
519, -117.318, 705.398
520, 235.467, 762.017
521, -90.2727, 653.704
522, 26.9773, 484.749
523, -16.3864, 963.38
524, 19.3864, 844.91
525, 126.477, 975.629
526, -42.3409, 1258.42
527, -65.7273, 916.414
528, 11.5, 576.543
529, -136.455, 768.387
530, 232.022, 657.551
531, -100.614, 623.055
532, 79.9773, 781.89
533, -100.182, 569.593
534, -138.659, 603.802
535, 46.75, 832.889
536, 49.7045, 701.783
537, 38.3864, 760.581
538, -4.34091, 720.724
539, -8.54545, 559.145
540, 16.2222, 686.847
541, 33.0682, 538.786
542, -258, 668.587
543, 232.205, 523.465
544, -56.75, 533.513
545, 12.7045, 584.543
546, 79.6818, 459.735
547, -63.75, 457.997
548, -76.5227, 381.759
549, 134.133, 485.716
550, -63.1364, 435.674
551, -35.2955, 421.485
552, 24.2045, 453.985
553, -15.3636, 501.887
554, 89.7955, 514.894
555, -57.7727, 444.755
556, 27.5227, 360.605
557, -86.6818, 465.623
558, 66.0682, 417.564
559, 21.5556, 269.518
560, -22.8864, 315.809
561, -71.5909, 491.397
562, 59.1818, 385.712
563, -85.5909, 421.093
564, 87.2955, 434.455
565, -12.8864, 391.912
566, 1.18182, 330.642
567, 7.45455, 350.79
568, -64.9773, 365.293
569, 69.1364, 376.966
570, 110.222, 434.242
571, -129.523, 318.531
572, 48.3182, 349.086
573, -73.0909, 360.068
574, -22.5682, 355.602
575, 128.341, 277.352
576, 2.18182, 215.279
577, -126.773, 265.959
578, 83.75, 277.891
579, -43.8409, 285.282
580, -10.2, 317.439
581, 45.5455, 340.53
582, -21.9091, 250.108
583, 13.7955, 275.497
584, 15.1591, 202.683
585, 11.3636, 242.801
586, -73.0227, 335.913
587, 40.5227, 335.194
588, -35.0455, 319.008
589, 31.5, 241.461
590, 16.2, 201.139
591, 2.65909, 283.419
592, -12.3864, 194.757
593, 5.84091, 333.094
594, 5.5, 256.845
595, -47.9091, 240.21
596, 26.2045, 242.069
597, 2.22727, 280.152
598, 31.7045, 159.462
599, -21.4545, 169.929
600, 11.8444, 146.854
601, 44.25, 223.072
602, -64.4091, 241.891
603, -19.9545, 246.095
604, 28.9091, 189.196
605, -43.0682, 120.956
606, 32.9318, 155.676
607, 2.77273, 174.351
608, 29.7955, 147.63
609, -53.5682, 164.486
610, 33.6, 151.414
611, 26.75, 169.036
612, -67.8864, 165.585
613, 33.9091, 220.553
614, -45.6591, 161.468
615, 76.0682, 190.884
616, -20.9773, 142.173
