time, sound
687, -5.93182
688, -35.5227
689, -3.93182
690, -16.9556
691, 126.114
692, -86.1818
693, -47.4545
694, 23.4318
695, -95.0909
696, 166.727
697, -22.1818
698, -63.1364
699, 103.568
700, 16.8444
701, -222.75
702, 291.727
703, -208
704, 40.6364
705, -23.7273
706, 15.5909
707, 15.3182
708, 31.8636
709, 73
710, -86.9333
711, -31.2727
712, 135.659
713, -66.1591
714, -55.3636
715, 38.6136
716, -42.0227
717, 10.75
718, 39.5909
719, 8.04545
720, -30.3556
721, -30.0227
722, -67.6591
723, 90.75
724, -6.90909
725, 35.0909
726, -99
727, 86.8182
728, -88.6364
729, -1.20455
730, 91.0444
731, -16.4545
732, -30.6818
733, -21.4773
734, 10.6136
735, 71.7955
736, -32.1818
737, -90.7955
738, 46.5682
739, 59.5682
740, -49.6222
741, 51.6364
742, -31.6818
743, -49.4773
744, 58.1136
745, -23.1364
746, 51.8636
747, -37.0682
748, -31.0227
749, 26.8864
750, -4.6
751, -18.25
752, 55.8409
753, -57.8409
754, 38.5227
755, 14.2045
756, -16.6818
757, 23.9318
758, -67.0227
759, -38.4773
760, 94.2222
761, 1.25
762, 2.02273
763, 21.7727
764, -76.7045
765, 28.8409
766, 3.84091
767, -17.1818
768, 26.5
769, -53.5
770, 61
771, -40.25
772, 11.6591
773, -4.25
774, 4.47727
775, -16.9545
776, 46.1364
777, -7.52273
778, -57.2273
779, 34.8182
780, -5.64444
781, 10
782, 21
783, -18.4545
784, 44.6818
785, -65.1591
786, 40.1818
787, -2.93182
788, 4.20455
789, -33.25
790, -16.5111
791, 18
792, -15.3182
793, 28.5909
794, 9.68182
795, -26.3864
796, -8.61364
797, 17.6364
798, -10.2273
799, 2.56818
800, 21.8889
801, -7.13636
802, 8.11364
803, 6.47727
804, -42.1591
805, 46.7955
806, -28.6591
807, -13
808, 3.52273
809, 8.70455
810, 17.9111
811, 5.77273
812, -34.2727
813, -20.2273
814, -1017.09
815, 1945.02
816, -864.545
817, -1477.89
818, 1722.18
819, -151.159
820, -271.022
821, 521.182
822, -554.25
823, -43.1818
824, 447.795
825, -89.8864
826, -401.227
827, 93.7273
828, 14.4545
829, -66.0455
830, 458.2
831, -358.568
832, 55.75
833, 2.68182
834, 155.273
835, 84.8636
836, -323.409
837, 271.886
838, -213.705
839, -2.36364
840, 261.667
841, -197.091
842, 8.02273
843, 43.5682
844, -27.8409
845, -27.5909
846, -0.681818
847, -56.9545
848, 119
849, -35.1818
850, -63.4889
851, 33.3864
852, -86.9091
853, 186.955
854, -115.227
855, -29.9545
856, 148.773
857, -39.0909
858, -163.341
859, 266.159
860, -244.444
861, 65.7273
862, 5.95455
863, 56.1364
